"Nome Lavoura","Ano","Sigla Região Geográfica IBGE","Sigla UF IBGE","Nome Mesorregião","Nome Microrregião","Nome Município IBGE","Área Colhida","Qtd.Produzida","Valor Produção (Moeda em Real)"
"Milho (em grão)","1997","S","RS","Metropolitana de Porto Alegre","Gramado-Canela","Ivoti","0,2","0,6","85"
"Milho (em grão)","1992","S","RS","Noroeste Rio-grandense","Erechim","São Valentim","10","30","2,549656"
"Milho (em grão)","2008","S","PR","Centro Ocidental Paranaense","Goioerê","Juranda","26,9","131,45","48242"
"Milho (em grão)","2016","S","RS","Nordeste Rio-grandense","Guaporé","Arvorezinha","2,6","13","9308"
"Milho (em grão)","2012","S","RS","Metropolitana de Porto Alegre","Camaquã","Dom Feliciano","6","10,8","4826"
"Milho (em grão)","1994","S","RS","Nordeste Rio-grandense","Guaporé","Arvorezinha","4,87","13,88","1389"
"Milho (em grão)","2000","S","RS","Noroeste Rio-grandense","Não-Me-Toque","Tapera","2,2","7,04","915"
"Milho (em grão)","1998","S","RS","Noroeste Rio-grandense","Passo Fundo","Sertão","6","24","3700"
"Milho (em grão)","2014","S","SC","Grande Florianópolis","Florianópolis","São Pedro de Alcântara","0,1","0,264","97"
"Milho (em grão)","2014","S","RS","Noroeste Rio-grandense","Cerro Largo","São Pedro do Butiá","2,1","13,86","4962"
"Milho (em grão)","2009","S","PR","Norte Central Paranaense","Floraí","Ourizona","12,84","96,942","24914"
"Milho (em grão)","1996","S","RS","Noroeste Rio-grandense","Três Passos","Doutor Maurício Cardoso","3,184","9,42","1380"
"Milho (em grão)","2006","S","PR","Noroeste Paranaense","Paranavaí","Itaúna do Sul","0,25","0,52","100"
"Milho (em grão)","2011","S","PR","Oeste Paranaense","Toledo","São Pedro do Iguaçu","4,05","22,36","8944"
"Milho (em grão)","1993","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Vista Alegre","3,4","10,88","14,5061818181818"
"Milho (em grão)","1995","S","RS","Noroeste Rio-grandense","Carazinho","Almirante Tamandaré do Sul","","",""
"Milho (em grão)","2014","S","RS","Sudeste Rio-grandense","Serras de Sudeste","Amaral Ferrador","1,5","2,3","1097"
"Milho (em grão)","2000","S","SC","Sul Catarinense","Araranguá","Santa Rosa do Sul","0,41","1,04","173"
"Milho (em grão)","2009","S","SC","Grande Florianópolis","Florianópolis","Santo Amaro da Imperatriz","0,51","1,696","478"
"Milho (em grão)","2018","S","SC","Norte Catarinense","Canoinhas","Itaiópolis","5,5","52,8",""
"Milho (em grão)","2009","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Imigrante","1,35","6,48","2080"
"Milho (em grão)","2001","S","SC","Oeste Catarinense","Concórdia","Ipira","3,8","13,224","1851"
"Milho (em grão)","2015","S","PR","Metropolitana de Curitiba","Lapa","Porto Amazonas","0,85","8","2920"
"Milho (em grão)","1997","S","RS","Noroeste Rio-grandense","Carazinho","Carazinho","9","32,4","3629"
"Milho (em grão)","2010","S","PR","Norte Central Paranaense","Ivaiporã","São João do Ivaí","9,85","40,1","9263"
"Milho (em grão)","2014","S","PR","Noroeste Paranaense","Cianorte","Tuneiras do Oeste","2,01","9,63","3045"
"Milho (em grão)","1994","S","SC","Sul Catarinense","Tubarão","Treze de Maio","0,5","1,44","100"
"Milho (em grão)","2002","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Capitão","0,91","2,73","625"
"Milho (em grão)","2014","S","SC","Sul Catarinense","Criciúma","Içara","2,6","15,6","7020"
"Milho (em grão)","2002","S","SC","Vale do Itajaí","Rio do Sul","Presidente Nereu","0,8","3,264","685"
"Milho (em grão)","2006","S","SC","Oeste Catarinense","Joaçaba","Arroio Trinta","1,98","10,454","2404"
"Milho (em grão)","2016","S","SC","Sul Catarinense","Tubarão","Treze de Maio","0,9","6,3","4665"
"Milho (em grão)","2006","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Nova Santa Rita","0,3","0,54","143"
"Milho (em grão)","2001","S","SC","Oeste Catarinense","Concórdia","Concórdia","20,46","84,925","11465"
"Milho (em grão)","2008","S","RS","Noroeste Rio-grandense","Três Passos","Campo Novo","2,5","6,25","1925"
"Milho (em grão)","1994","S","PR","Noroeste Paranaense","Umuarama","Alto Paraíso","0,4","0,95","90"
"Milho (em grão)","2016","S","PR","Noroeste Paranaense","Umuarama","Alto Paraíso","0,043","0,052","32"
"Milho (em grão)","2007","S","RS","Noroeste Rio-grandense","Cruz Alta","Saldanha Marinho","2","13,68","3420"
"Milho (em grão)","2014","S","PR","Metropolitana de Curitiba","Curitiba","Piraquara","0,4","2,876","1064"
"Milho (em grão)","2006","S","RS","Sudoeste Rio-grandense","Campanha Meridional","Aceguá","1","0,72","174"
"Milho (em grão)","2000","S","RS","Sudeste Rio-grandense","Litoral Lagunar","Rio Grande","0,08","0,096","20"
"Milho (em grão)","1996","S","SC","Grande Florianópolis","Florianópolis","Governador Celso Ramos","0,006","0,011","1"
"Milho (em grão)","2013","S","SC","Norte Catarinense","São Bento do Sul","Rio Negrinho","1,8","12,96","4743"
"Milho (em grão)","2017","S","RS","Noroeste Rio-grandense","Cruz Alta","Campos Borges","0,172","1,56","675"
"Milho (em grão)","2007","S","RS","Noroeste Rio-grandense","Cruz Alta","Santa Bárbara do Sul","6","43,2","12262"
"Milho (em grão)","2000","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Taquari","1,8","4,158","611"
"Milho (em grão)","2017","S","RS","Noroeste Rio-grandense","Três Passos","Humaitá","1,7","13,94","5018"
"Milho (em grão)","2003","S","SC","Sul Catarinense","Tubarão","Orleans","2,697","9,535","3099"
"Milho (em grão)","2010","S","SC","Oeste Catarinense","Chapecó","Chapecó","8,8","51,04","13168"
"Milho (em grão)","2013","S","RS","Centro Oriental Rio-grandense","Santa Cruz do Sul","Venâncio Aires","14,5","87","45023"
"Milho (em grão)","2013","S","PR","Centro Ocidental Paranaense","Campo Mourão","Roncador","3,8","33,451","12282"
"Milho (em grão)","2012","S","SC","Oeste Catarinense","São Miguel do Oeste","Itapiranga","2,6","15,36","6490"
"Milho (em grão)","1999","S","SC","Vale do Itajaí","Blumenau","Pomerode","1,4","4,2","672"
"Milho (em grão)","2008","S","SC","Norte Catarinense","Joinville","Garuva","0,005","0,013","5"
"Milho (em grão)","1990","S","RS","Noroeste Rio-grandense","Ijuí","Panambi","4,5","16,2","0,0360450909090909"
"Milho (em grão)","2004","S","RS","Metropolitana de Porto Alegre","Montenegro","Pareci Novo","0,15","0,24","102"
"Milho (em grão)","1996","S","PR","Sudoeste Paranaense","Francisco Beltrão","Flor da Serra do Sul","9,3","22,56","3046"
"Milho (em grão)","2011","S","SC","Oeste Catarinense","Chapecó","Saudades","4,76","34,272","12544"
"Milho (em grão)","2017","S","PR","Centro Oriental Paranaense","Ponta Grossa","Ponta Grossa","7,82","77,61","35625"
"Milho (em grão)","2007","S","RS","Noroeste Rio-grandense","Carazinho","Cerro Grande","4,2","15,12","3689"
"Milho (em grão)","2012","S","SC","Serrana","Campos de Lages","Celso Ramos","1,18","2,124","807"
"Milho (em grão)","1997","S","PR","Oeste Paranaense","Cascavel","Guaraniaçu","25,4","62,615","6262"
"Milho (em grão)","2001","S","PR","Oeste Paranaense","Toledo","Maripá","7,5","36,9","5018"
