"Nome Lavoura","Ano","Sigla Região Geográfica IBGE","Sigla UF IBGE","Nome Mesorregião","Nome Microrregião","Nome Município IBGE","Área Colhida","Qtd.Produzida","Valor Produção (Moeda em Real)"
"Soja (em grão)","1990","S","RS","Noroeste Rio-grandense","Erechim","Itatiba do Sul","3,15","4,41","0,0142930909090909"
"Soja (em grão)","2006","S","PR","Norte Central Paranaense","Apucarana","Cambira","3,85","10,78","4096"
"Soja (em grão)","1994","S","PR","Sudoeste Paranaense","Francisco Beltrão","Renascença","14","37,8","6615"
"Soja (em grão)","2018","S","SC","Vale do Itajaí","Itajaí","Balneário Camboriú","","",""
"Soja (em grão)","1992","S","PR","Sudoeste Paranaense","Francisco Beltrão","Bom Jesus do Sul","","",""
"Soja (em grão)","2012","S","RS","Centro Oriental Rio-grandense","Cachoeira do Sul","Novo Cabrais","3,2","5,376","4605"
"Soja (em grão)","1992","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Tabaí","","",""
"Soja (em grão)","2016","S","PR","Sudoeste Paranaense","Francisco Beltrão","Renascença","31,8","99,72","113065"
"Soja (em grão)","1998","S","PR","Sudeste Paranaense","São Mateus do Sul","São Mateus do Sul","9,45","23,152","4931"
"Soja (em grão)","2018","S","RS","Noroeste Rio-grandense","Cruz Alta","Jóia","81","269,1",""
"Soja (em grão)","1998","S","RS","Noroeste Rio-grandense","Passo Fundo","Pontão","31","74,4","15996"
"Soja (em grão)","2017","S","SC","Oeste Catarinense","Xanxerê","Jupiá","2,4","7,2","7604"
"Soja (em grão)","2017","S","RS","Noroeste Rio-grandense","Sananduva","São José do Ouro","19,4","75,66","72566"
"Soja (em grão)","2001","S","PR","Norte Central Paranaense","Astorga","Lobato","1,342","4,061","1129"
"Soja (em grão)","2017","S","SC","Vale do Itajaí","Blumenau","Benedito Novo","","",""
"Soja (em grão)","2008","S","RS","Sudoeste Rio-grandense","Campanha Ocidental","Maçambará","16","24","17814"
"Soja (em grão)","1997","S","SC","Norte Catarinense","Joinville","Jaraguá do Sul","","",""
"Soja (em grão)","1990","S","PR","Noroeste Paranaense","Umuarama","Alto Piquiri","3,8","7,524","0,0189221818181818"
"Soja (em grão)","1993","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Sapiranga","","",""
"Soja (em grão)","2007","S","PR","Metropolitana de Curitiba","Curitiba","Mandirituba","0,03","0,093","46"
"Soja (em grão)","2013","S","RS","Centro Ocidental Rio-grandense","Santa Maria","Cacequi","18","38,88","36392"
"Soja (em grão)","2003","S","SC","Oeste Catarinense","Chapecó","Cunha Porã","0,8","1,92","1088"
"Soja (em grão)","2017","S","SC","Sul Catarinense","Araranguá","Jacinto Machado","0,015","0,027","27"
"Soja (em grão)","1990","S","PR","Norte Pioneiro Paranaense","Assaí","Jataizinho","5","9,25","0,0291290909090909"
"Soja (em grão)","2017","S","RS","Centro Ocidental Rio-grandense","Restinga Seca","São João do Polêsine","0,4","1,32","1260"
"Soja (em grão)","2016","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Siqueira Campos","5","14","14756"
"Soja (em grão)","2008","S","SC","Oeste Catarinense","Chapecó","Palmitos","4","5,6","3920"
